Cod. y Desc. Inciso,Cod. y Desc. Inciso_imagen,Cod. y Desc. Principal,Cod. y Desc. Principal_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,4,"12330,04481049","12932,040838","13469,7339","8357,75867457","4713,89447856","4151,16152793",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,5,"12330,04481049","12932,040838","13473,3339","8988,42097404","5892,85857552","5159,41725179",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,6,"12330,04481049","12932,040838","13516,101239","10112,74339895","7876,27987861","6435,59823084",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,7,"12330,04481049","12932,040838","13733,876093","10814,86672575","9101,69447675","8296,1732214",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,8,"12330,04481049","12932,040838","14050,462572","11716,34162265","10390,77868544","9531,88389846",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,9,"12330,04481049","12932,040838","14264,566826","12659,58286066","11790,29758615","10886,69009419",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,10,"12330,04481049","12932,040838","14722,821795","13687,72066498","13088,04073393","12313,10679115",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,11,"12330,04481049","12932,040838","17351,356599","14859,93078627","14459,29670966","13512,50097562",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,1,"2953,98005116","3566,099135","3565,868135","796,4294816","121,4971066","12,00277787",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,2,"2953,98005116","3566,099135","3515,647413","1069,11463805","287,27833188","219,03196701",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,3,"2953,98005116","3566,099135","3490,377512","1425,22925237","706,24142678","413,72679594",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,4,"2953,98005116","3566,099135","3517,613597","1564,27964718","903,19516456","744,25895762",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,5,"2953,98005116","3566,099135","3478,073744","1757,81837918","1144,06178541","978,07918848",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,6,"2953,98005116","3566,099135","3440,097162","2132,83504045","1747,93401039","1404,31345422",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,7,"2953,98005116","3566,099135","3422,942207","2429,35743475","1985,43600009","1842,51901789",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,8,"2953,98005116","3566,099135","3370,588703","2617,93516292","2223,98244296","2120,10062148",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,9,"2953,98005116","3566,099135","3372,23201","2873,36130088","2603,43709814","2408,54067571",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,10,"2953,98005116","3566,099135","3571,280023","3045,04630208","2814,60339719","2723,32086204",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,"1 - Productos Alimenticios, Agropecuarios y Forestales",que/productos_alimenticios_agropecuarios_y_forestales.svg,11,"2953,98005116","3566,099135","3731,220914","3239,47571086","3104,83066699","2978,27661456",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,2 - Textiles y Vestuario,que/textiles_y_vestuario.svg,1,"921,37016099","909,730097","909,300097","38,56236359","5,80325791","3,59298763",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,2 - Textiles y Vestuario,que/textiles_y_vestuario.svg,2,"921,37016099","909,730097","885,049736","137,09203553","54,42831178","44,86420735",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
2 - Bienes de Consumo,que/bienes_de_consumo.svg,2 - Textiles y Vestuario,que/textiles_y_vestuario.svg,3,"921,37016099","909,730097","882,362245","273,91963273","145,15467561","92,39092208",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
